data.set,size,r.size,r.gz.size,protobuf.size,protobuf.gz.size
uspop,584,268,172,211,148 
Titanic,1960,633,257,481,249 
volcano,42656,42517,5226,42476,4232 
euro.cross,2728,1319,910,1207,891 
attenu,14568,8234,2165,7771,2336 
ToothGrowth,2568,1486,349,1239,391 
lynx,1344,1028,429,971,404 
nottem,2352,2036,627,1979,641 
sleep,2752,746,282,483,260 
co2,4176,3860,1473,3803,1453 
austres,1144,828,439,771,410 
ability.cov,1944,716,357,589,341 
EuStockMarkets,60664,59785,21232,59674,19882 
treering,64272,63956,17647,63900,17758 
freeny.x,1944,1445,1311,1372,1289 
Puromycin,2088,813,306,620,320 
warpbreaks,2768,1231,310,811,343 
BOD,1088,334,182,226,168 
sunspots,22992,22676,6482,22620,6742 
beaver2,4184,3423,751,3468,840 
anscombe,2424,991,375,884,352 
esoph,5624,3111,548,2240,665 
PlantGrowth,1680,646,303,459,314 
infert,15848,14328,1172,13197,1404 
BJsales,1632,1316,496,1259,465 
stackloss,1688,917,293,844,283 
crimtab,7936,4641,713,1655,576 
LifeCycleSavings,6048,3014,1420,2825,1407 
Harman74.cor,9144,6056,2045,5861,2070 
nhtemp,912,596,240,539,223 
faithful,5136,4543,1339,4936,1776 
freeny,5296,2465,1518,2271,1507 
discoveries,1232,916,199,859,180 
state.x77,7168,4251,1754,4068,1756 
pressure,1096,498,277,427,273 
fdeaths,1008,692,291,635,272 
euro,976,264,186,202,161 
LakeHuron,1216,900,420,843,404 
mtcars,6736,3798,1204,3633,1206 
precip,4992,1793,813,1615,815 
state.area,440,422,246,405,235 
attitude,3024,1990,544,1920,561 
randu,10496,9794,8859,10441,9558 
state.name,3088,844,408,724,415 
airquality,5496,4551,1241,2874,1294 
airmiles,624,308,170,251,148 
quakes,33112,32246,9898,29063,11595 
islands,3496,1232,563,1098,561 
OrchardSprays,3600,2164,445,1897,483 
WWWusage,1232,916,274,859,251 
